domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand
usnblezpasscom.xin,xin,0.028014999,phishtank,,False,False,False,False,3.794653473544342,18.0,0.0
huwaifeng.cn,cn,0.04085543,certificates,dangerous_tld,True,False,False,False,3.4182958340544896,12.0,0.0
maahaya.cn,cn,0.099200785,certificates,dangerous_tld,True,False,False,False,2.5219280948873624,10.0,0.0
site-ontroetge.uno,uno,0.07780516,phishtank,,False,False,False,False,3.266332639970623,18.0,0.0
hezemusheng.cn,cn,0.23643954,certificates,dangerous_tld,True,False,False,False,3.182005814760214,14.0,0.0
3reer45.lat,lat,0.015024447,phishtank,dangerous_tld,True,False,False,False,3.0957952550009344,11.0,0.0
rakutenvdn.com,com,0.36539006,jpcert,brand,False,True,False,False,3.6644977792004623,14.0,1.0
mfgf.hu,hu,0.04384275,jpcert,short,False,False,False,True,2.5216406363433186,7.0,0.0
dniperu.online,online,0.13910288,phishtank,dangerous_tld,True,False,False,False,3.182005814760214,14.0,0.0
thesocial.cn,cn,0.064192824,certificates,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0
inicioraiker.site,site,0.12691689,phishtank,dangerous_tld,True,False,False,False,3.1692486956952335,17.0,0.0
sheilhoward.bond,bond,0.13747807,jpcert,,False,False,False,False,3.625,16.0,0.0
senatgold.space,space,0.053218823,phishtank,,False,False,False,False,3.506890595608518,15.0,0.0
uacm.cn,cn,0.38581547,jpcert,"dangerous_tld,,short",True,False,False,True,2.5216406363433186,7.0,0.0
digitalplace.space,space,0.04290016,phishtank,,False,False,False,False,3.350209029099897,18.0,0.0
waa.ai,ai,0.04108249,jpcert,short,False,False,False,True,1.7924812503605778,6.0,0.0
daycom.cn,cn,0.024509927,jpcert,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0
login-sagaccouplely.xyz,xyz,0.01166263,jpcert,dangerous_tld,True,False,False,False,3.882045108136863,23.0,0.0
correos.lol,lol,0.13270703,jpcert,,False,False,False,False,2.663532754804255,11.0,0.0
internetaboneligi.name.tr,tr,0.013269692,phishtank,,False,False,False,False,3.383465189601646,25.0,0.0
che-post.work,work,0.09384331,phishtank,,False,False,False,False,3.5465935642949384,13.0,0.0
3t.fit,fit,0.49313715,certificates,short,False,False,False,True,2.2516291673878226,6.0,0.0
ups.com-qwaf.cc,cc,0.1505799,phishtank,dangerous_tld,True,False,False,False,3.456564762130953,15.0,0.0
cemev.com.ar,ar,0.040796332,phishtank,,False,False,False,False,2.9182958340544896,12.0,0.0
emghjoue.top,top,0.04681352,phishtank,dangerous_tld,True,False,False,False,3.2516291673878226,12.0,0.0
servicesevri.today,today,0.34391657,phishtank,,False,False,False,False,3.4613201402110083,18.0,0.0
qcwiale.cn,cn,0.01005048,jpcert,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
svmschool.edu.bd,bd,0.21364836,jpcert,,False,False,False,False,3.5,16.0,0.0
coins.moe,moe,0.002262879,certificates,,False,False,False,False,2.94770277922009,9.0,0.0
ggetech.us,us,0.038372386,phishtank,,False,False,False,False,2.9219280948873623,10.0,0.0
qge8o8.cn,cn,0.25755936,jpcert,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0
nprant-naice-amoneomn.top,top,0.35753575,jpcert,dangerous_tld,True,False,False,False,3.399079570624174,25.0,0.0
diary-jp.icu,icu,0.18938172,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0
i5s.top,top,0.033451352,certificates,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
ng1v2q6q.lat,lat,0.30048975,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0
brabra-trocadepontos.shop,shop,0.4103845,phishtank,,False,False,False,False,3.6234651896016463,25.0,0.0
3c5.com,com,0.026853863,jpcert,short,False,False,False,True,2.5216406363433186,7.0,0.0
ufjbank.icu,icu,0.35865232,certificates,dangerous_tld,True,False,False,False,3.2776134368191165,11.0,0.0
feab.com.cn,cn,0.45630464,jpcert,dangerous_tld,True,False,False,False,3.095795255000934,11.0,0.0
myetherwallet.comko.cc,cc,0.12316029,jpcert,dangerous_tld,True,False,False,False,3.5726236638951643,22.0,0.0
amejp.top,top,0.25109252,certificates,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0
megancroft.bond,bond,0.2810247,certificates,,False,False,False,False,3.6402239289418516,15.0,0.0
inbook.cc,cc,0.023286823,certificates,dangerous_tld,True,False,False,False,2.725480556997868,9.0,0.0
shxieer.cn,cn,0.010443648,jpcert,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
gwcj.cn,cn,0.43694508,certificates,"dangerous_tld,,short",True,False,False,True,2.5216406363433186,7.0,0.0
verfication-my-ama.zone,zone,0.46664664,jpcert,,False,False,False,False,3.795088586397733,23.0,0.0
kobayashi.farm,farm,0.05382278,jpcert,,False,False,False,False,3.4677201004745006,14.0,0.0
myjcb-no.me,me,0.050749578,jpcert,,False,False,False,False,3.2776134368191165,11.0,0.0
kuronekoyamat.cc,cc,0.24210162,certificates,dangerous_tld,True,False,False,False,3.5,16.0,0.0
mlrip.ac.in,in,0.04550446,phishtank,,False,False,False,False,3.095795255000934,11.0,0.0
fastsettlementhub.click,click,0.047025576,phishtank,dangerous_tld,True,False,False,False,3.708132064658602,23.0,0.0
aifulbizc.sbs,sbs,0.46745738,jpcert,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0
rahropub.ir,ir,0.02016715,jpcert,,False,False,False,False,3.027169118440619,11.0,0.0
futurethink.co.za,za,0.06735991,phishtank,,False,False,False,False,3.734521664779752,17.0,0.0
specialm.cn,cn,0.19860026,jpcert,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0
secure-jp.icu,icu,0.21016133,phishtank,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0
rxqi.cn,cn,0.22006786,jpcert,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
rowearchitectlove.cc,cc,0.027913405,jpcert,dangerous_tld,True,False,False,False,3.384183719779189,20.0,0.0
urlsurvey.co.in,in,0.032826677,jpcert,,False,False,False,False,3.5068905956085183,15.0,0.0
mang123.cn,cn,0.057025705,certificates,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
dejoq.cn,cn,0.21166058,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0
msm-sonnenschutz.at,at,0.012393552,phishtank,,False,False,False,False,3.5368867237421666,19.0,0.0
wioenl.cn,cn,0.2413124,jpcert,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0
ibndesign.xyz,xyz,0.106777065,phishtank,dangerous_tld,True,False,False,False,3.3927474104487847,13.0,0.0
idf-dhl.com,com,0.364513,phishtank,brand,False,True,False,False,3.2776134368191165,11.0,1.0
amzoneid54620-jp.com,com,0.017706476,jpcert,high_entropy,False,False,True,False,4.1219280948873624,20.0,0.0
kuronekoyamcato.top,top,0.4916233,jpcert,dangerous_tld,True,False,False,False,3.511085408180427,19.0,0.0
tg1.com.cn,cn,0.04967136,jpcert,dangerous_tld,True,False,False,False,2.921928094887362,10.0,0.0
jllia.cn,cn,0.2012805,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0
bgnroh.xyz,xyz,0.16711088,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0
hzoq.cn,cn,0.18375921,certificates,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
suaponto.top,top,0.009723272,phishtank,dangerous_tld,True,False,False,False,2.8553885422075336,12.0,0.0
u-m.top,top,0.11110871,jpcert,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
accoun.lifechanger.cn,cn,0.20797981,certificates,dangerous_tld,True,False,False,False,3.4992275417233563,21.0,0.0
go.click.ly,ly,0.09442577,jpcert,,False,False,False,False,2.913977073182752,11.0,0.0
aouxy.cn,cn,0.022044273,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0
gracedivineeducation.ci,ci,0.019082092,phishtank,,False,False,False,False,3.501397825434103,23.0,0.0
brisia.com.gt,gt,0.0081405025,phishtank,,False,False,False,False,3.3927474104487847,13.0,0.0
phoenix288.info,info,0.15215059,phishtank,,False,False,False,False,3.373557262275185,15.0,0.0
as324ind.lat,lat,0.030106986,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0
uzdrbmn.shop,shop,0.03937427,jpcert,,False,False,False,False,3.584962500721156,12.0,0.0
expressllane-orgxok.vip,vip,0.24560502,phishtank,,False,False,False,False,3.795088586397732,23.0,0.0
dgtl0es-sede.cfd,cfd,0.48740983,jpcert,dangerous_tld,True,False,False,False,3.2806390622295662,16.0,0.0
myidmoicerd08.top,top,0.41721565,jpcert,dangerous_tld,True,False,False,False,3.6168746059562227,17.0,0.0
xn--80ab1amccbm0f.xn--p1ai,xn--p1ai,0.014692772,phishtank,,False,False,False,False,3.671405583442497,26.0,0.0
achleshwar.in,in,0.033936772,phishtank,,False,False,False,False,3.3927474104487847,13.0,0.0
scboutttique.shop,shop,0.40564644,jpcert,,False,False,False,False,3.4548223999466066,17.0,0.0
chemistrylabequipment.com,com,0.3745171,jpcert,high_entropy,False,False,True,False,4.023465189601645,25.0,0.0
trashtheinch.icu,icu,0.39116243,phishtank,dangerous_tld,True,False,False,False,3.327819531114783,16.0,0.0
eki-co-jp.icu,icu,0.22038445,jpcert,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0
jp-pay-pay.top,top,0.31973246,jpcert,dangerous_tld,True,False,False,False,2.8073549220576046,14.0,0.0
seahawks.ch,ch,0.033952575,jpcert,,False,False,False,False,2.9139770731827523,11.0,0.0
bank-pko.pl,pl,0.048312936,phishtank,,False,False,False,False,3.095795255000934,11.0,0.0
praevida.com.ar,ar,0.040330846,jpcert,,False,False,False,False,3.323231428797621,15.0,0.0
baoshuntouzi.cn,cn,0.43866435,jpcert,dangerous_tld,True,False,False,False,3.5068905956085183,15.0,0.0
marketagricola.pe,pe,0.046085767,jpcert,,False,False,False,False,3.5724694587701364,17.0,0.0
