domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld,ml_bin,gsb_status,gsb_detail,gsb_checked_at
riverwalkvisitorsguide.org,org,0.04833966,phishtank,True,26.0,3.7004397181410913,0.0,1.0,0.0,False,True,very_low,unknown,Status element not found,2026-01-11T17:26:37.194807
juniperwoodworks.com,com,0.0025582293,jpcert,True,20.0,3.721928094887362,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:26:49.890000
sbiatecojp.com,com,0.031304967,phishtank,True,14.0,3.521640636343319,0.0,1.0,0.0,False,True,very_low,unknown,Status element not found,2026-01-11T17:26:57.488403
bashline.jp,jp,0.03823813,jpcert,True,11.0,3.459431618637298,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:09.128989
legomania.net,net,0.04543609,phishtank,True,13.0,3.238901256602631,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:16.225085
ksatnam.com,com,0.021376992,phishtank,True,11.0,3.095795255000934,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:23.305163
vipfbtools.com,com,0.008907868,phishtank,True,14.0,3.4677201004745006,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:29.926555
ytsantong.com,com,0.012190945,jpcert,True,13.0,3.238901256602631,0.0,0.0,0.0,False,True,very_low,unknown,Status element not found,2026-01-11T17:27:36.557586
empiregrp.net,net,0.021019736,phishtank,True,13.0,3.026986833359288,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:48.569946
abv2.net.au,au,0.03715214,phishtank,True,11.0,3.0957952550009344,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:55.198058
flownergy.com,com,0.04995068,jpcert,True,13.0,3.5465935642949384,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:01.823678
inexs.jp,jp,0.041416936,jpcert,True,8.0,3.0,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:08.906258
keishitanaka.com,com,0.0027389626,jpcert,True,16.0,3.452819531114783,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:15.979561
