domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld,ml_bin,gsb_status,gsb_detail,gsb_checked_at,created,age_days,registrar,whois_status
riverwalkvisitorsguide.org,org,0.04833966,phishtank,True,26.0,3.7004397181410913,0.0,1.0,0.0,False,True,very_low,unknown,Status element not found,2026-01-11T17:26:37.194807,2020-04-29,2083,"GoDaddy.com, LLC",found
juniperwoodworks.com,com,0.0025582293,jpcert,True,20.0,3.721928094887362,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:26:49.890000,2024-11-22,415,Tucows Domains Inc.,found
sbiatecojp.com,com,0.031304967,phishtank,True,14.0,3.521640636343319,0.0,1.0,0.0,False,True,very_low,unknown,Status element not found,2026-01-11T17:26:57.488403,2025-06-03,222,Dominet (HK) Limited,found
bashline.jp,jp,0.03823813,jpcert,True,11.0,3.459431618637298,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:09.128989,2013-06-07,4601,,found
legomania.net,net,0.04543609,phishtank,True,13.0,3.238901256602631,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:16.225085,2024-11-29,408,Gname.com Pte. Ltd.,found
ksatnam.com,com,0.021376992,phishtank,True,11.0,3.095795255000934,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:23.305163,2021-11-25,1508,One.com A/S,found
vipfbtools.com,com,0.008907868,phishtank,True,14.0,3.4677201004745006,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:29.926555,,-1,,deleted
ytsantong.com,com,0.012190945,jpcert,True,13.0,3.238901256602631,0.0,0.0,0.0,False,True,very_low,unknown,Status element not found,2026-01-11T17:27:36.557586,2021-06-25,1661,Gname.com Pte. Ltd.,found
empiregrp.net,net,0.021019736,phishtank,True,13.0,3.026986833359288,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:48.569946,2025-08-10,154,Squarespace Domains II LLC,found
abv2.net.au,au,0.03715214,phishtank,True,11.0,3.0957952550009344,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:27:55.198058,,-1,Web Address Registration Pty Ltd,no_date
flownergy.com,com,0.04995068,jpcert,True,13.0,3.5465935642949384,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:01.823678,2025-03-16,301,"GoDaddy.com, LLC",found
inexs.jp,jp,0.041416936,jpcert,True,8.0,3.0,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:08.906258,2014-07-01,4212,,found
keishitanaka.com,com,0.0027389626,jpcert,True,16.0,3.452819531114783,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:15.979561,2011-09-16,5231,"GMO Internet, Inc.",found
ostracontech.com,com,0.025938233,phishtank,True,16.0,3.2806390622295662,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:23.055223,2008-09-19,6323,"Wild West Domains, LLC",found
sunpasstollsbill.com,com,0.008778179,phishtank,True,20.0,3.4219280948873623,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:30.159078,2024-06-30,560,"NICENIC INTERNATIONAL GROUP CO., LIMITED",found
tianxiqianhe.com,com,0.008609436,jpcert,True,16.0,3.452819531114783,0.0,0.0,0.0,False,True,very_low,unsafe,Some pages unsafe,2026-01-11T17:28:37.288293,2025-09-20,113,Unstoppable Domains,found
drclareallen.com,com,0.032471262,jpcert,True,16.0,3.202819531114783,0.0,1.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:44.354162,2025-03-28,289,"GoDaddy.com, LLC",found
transfer-team.ru,ru,0.0011665158,phishtank,True,16.0,3.327819531114783,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:51.473086,2024-04-23,627,TIMEWEB-RU,found
lickhers.com,com,0.033631466,jpcert,True,12.0,3.418295834054489,0.0,0.0,0.0,False,True,very_low,safe,No unsafe content found,2026-01-11T17:28:58.576364,2024-03-08,674,"GoDaddy.com, LLC",found
