domain,ml_probability,source,gsb_status,phishtank_status,phishtank_in_database,phishtank_verified,phishtank_valid,phishtank_checked_at
rxqi.cn,0.22006786,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:20:22.222402
xn--80ab1amccbm0f.xn--p1ai,0.014692772,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:24.542392
praevida.com.ar,0.040330846,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:20:27.150259
cos.ge,0.05166685,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:29.953058
jm1860.com.cn,0.08429331,certificates,unsafe,not_in_database,False,False,False,2026-01-12T04:20:32.267137
pasoapaso.com.ar,0.022228979,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:20:34.673104
camarasciervo.com.mx,0.12158869,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:36.953364
live-app.cx,0.0149683105,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:39.362041
cenkaskalli.com.tr,0.04480159,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:20:41.658983
registroheca.com.ar,0.011089827,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:44.015725
i7yk1x.top,0.48857903,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:46.857114
usuariosnetb.icu,0.04691838,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:49.574614
robonelectric.co.za,0.050776664,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:51.879141
replug.link,0.043867163,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:20:54.194433
sadaohospital.go.th,0.038194746,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:20:56.694089
120jj.cn,0.42989755,certificates,unsafe,not_in_database,False,False,False,2026-01-12T04:20:59.078610
fpt.one,0.004001491,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:01.412627
wf12349.com.cn,0.12483746,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:21:03.729680
bqbq.de,0.024672337,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:06.047515
mrw.so,0.016104069,certificates,unsafe,not_in_database,False,False,False,2026-01-12T04:21:08.337823
ume.la,0.0107728625,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:10.646663
harcofed.org.in,0.08981276,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:13.068842
jsft.dk,0.18306921,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:15.366528
segurobradescodental.com.br,0.17360316,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:17.696451
xiawap.com.cn,0.009797518,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:21:20.021414
tianxiqianhe.com,0.008609436,jpcert,unsafe,not_in_database,False,False,False,2026-01-12T04:21:22.372818
saltekomakine.com,0.16010478,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:24.740645
generalgaming.ca,0.26670048,phishtank,unsafe,not_in_database,False,False,False,2026-01-12T04:21:27.281216
