domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld
qr-codes.io,io,0.0008726473,phishtank,True,11.0,3.277613436819116,0.0,0.0,0.0,False,True
imtookken.com,com,0.0009484934,certificates,True,13.0,3.0269868333592873,0.0,0.0,0.0,False,True
transfer-team.ru,ru,0.0011665158,phishtank,True,16.0,3.327819531114783,0.0,0.0,0.0,False,True
mebelkomomsk.ru,ru,0.0012019948,phishtank,True,15.0,3.189898095464287,0.0,0.0,0.0,False,True
tracyvette.com,com,0.0015952148,phishtank,True,14.0,3.182005814760214,0.0,0.0,0.0,False,True
mcareapps.org,org,0.0024945484,phishtank,True,13.0,3.238901256602631,0.0,0.0,0.0,False,True
juniperwoodworks.com,com,0.0025582293,jpcert,True,20.0,3.721928094887362,0.0,0.0,0.0,False,True
fastframenapa.com,com,0.0026496914,jpcert,True,17.0,3.381580488309164,0.0,0.0,0.0,False,True
gidra.net,net,0.002685988,jpcert,True,9.0,3.169925001442312,0.0,0.0,0.0,False,True
pixya.net,net,0.0026919355,jpcert,True,9.0,3.169925001442312,0.0,0.0,0.0,False,True
keishitanaka.com,com,0.0027389626,jpcert,True,16.0,3.452819531114783,0.0,0.0,0.0,False,True
utusiki.com,com,0.0028087546,jpcert,True,11.0,3.0957952550009344,0.0,0.0,0.0,False,True
me-sys-design.com,com,0.0032728065,jpcert,True,17.0,3.4548223999466066,0.0,0.0,0.0,False,True
laruche.jp,jp,0.003582942,jpcert,True,10.0,3.321928094887362,0.0,0.0,0.0,False,True
divinajoias.com,com,0.0038214927,certificates,True,15.0,3.3232314287976203,0.0,0.0,0.0,False,True
g.bmb.jp,jp,0.0041262466,certificates,True,8.0,2.5,0.0,0.0,0.0,False,True
haresports.com,com,0.004250797,jpcert,True,14.0,3.378783493486176,0.0,0.0,0.0,False,True
bluffecommerce.com,com,0.004643992,phishtank,True,18.0,3.155221528859512,0.0,1.0,0.0,False,True
kawasaki-fujimi.com,com,0.00466119,jpcert,True,19.0,3.5368867237421666,0.0,0.0,0.0,False,True
ringingphone.com,com,0.005354245,jpcert,True,16.0,3.327819531114783,0.0,1.0,0.0,False,True
activationpanel.net,net,0.005357974,phishtank,True,19.0,3.2866294867861954,0.0,0.0,0.0,False,True
amendresponseauonline.de,de,0.0053960946,phishtank,True,24.0,3.4345608142862893,0.0,0.0,0.0,False,True
retail-takasawa.co.jp,jp,0.0055151843,jpcert,True,21.0,3.6490012097103404,0.0,0.0,1.0,False,True
kuronekoyamaudto.co,co,0.0055438355,jpcert,True,19.0,3.5110854081804264,0.0,0.0,0.0,False,True
canadiantranslator.ca,ca,0.005616493,phishtank,True,21.0,3.141619208183979,0.0,0.0,0.0,False,True
totalmedicaltourism.com,com,0.0056859176,phishtank,True,23.0,3.555533151426996,0.0,0.0,0.0,False,True
biglobeservices.com,com,0.005844367,jpcert,True,19.0,3.4713544870139286,0.0,0.0,0.0,False,True
thechickweed.com,com,0.0059170625,certificates,True,16.0,3.2806390622295662,0.0,0.0,0.0,False,True
authactivityreport.com,com,0.0059179068,phishtank,True,22.0,3.641249800455479,0.0,0.0,0.0,False,True
alejandroarcoscatalan.org,org,0.005938352,phishtank,True,25.0,3.403074189428569,0.0,0.0,0.0,False,True
nbfaguozhan.com,com,0.0059430664,jpcert,True,15.0,3.5068905956085183,0.0,0.0,0.0,False,True
876718.com,com,0.006029326,jpcert,True,10.0,2.9219280948873623,0.0,0.0,0.0,False,True
salmonriverfarm.com,com,0.0060477084,jpcert,True,19.0,3.536886723742166,0.0,0.0,0.0,False,True
chuanqiwujin.com,com,0.0060911356,certificates,True,16.0,3.5,0.0,0.0,0.0,False,True
taxpayeridme.com,com,0.006144131,phishtank,True,16.0,3.625,0.0,0.0,0.0,False,True
idmeirsverify.com,com,0.0061951415,phishtank,True,17.0,3.454822399946607,0.0,0.0,0.0,False,True
