domain,tld,ml_probability,y_true,ai_pred,ai_confidence,ai_risk_level,ctx_risk_score,is_ml_paradox,ai_risk_factors,ai_reasoning,correct
spocwq.xyz,xyz,0.16372193,0,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitig","The domain 'spocwq.xyz' has a dangerous TLD (xyz) and shows signs of being short and random (6 characters, low vowel ratio 0.17, high entropy 2.58). However, the contextual risk score (0.47) is below 0.65 and there is no brand detection. The ML probability (0.16) is low and the domain does not have ",False
hezemusheng.cn,cn,0.23643954,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'hezemusheng.cn' has a dangerous TLD (cn) and shows signs of a DV certificate from Let's Encrypt with free CA and no organization. However, the contextual risk score (0.42) is below 0.50, and there are no detected brands. The ml_probability (0.236) is below 0.25, so we follow rule 9 to be",True
avodart24.top,top,0.22529532,0,1,0.75,high,0.42,False,"['ml_paradox_medium', 'dv_suspicious_combo', 'policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'avodart24.top' has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.42) is below 0.50 and the ML probability (0.225) is below 0.25. The presence of a dangerous TLD combi",False
dniperu.online,online,0.13910288,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'dniperu.online' has a dangerous TLD ('online') and shows signs of a DV certificate with free CA and no organization (free_ca, no_org). However, the contextual risk score (0.436) is below 0.50, and there are no detected brands. The ML probability (0.139) is low, and the domain does not ex",True
90phuttb.cc,cc,0.20740508,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain 90phuttb.cc has a dangerous TLD (cc) and shows random pattern characteristics (short, low entropy, high digit ratio). However, the contextual risk score (0.42) is below 0.50 and the ML probability (0.207) is below 0.25. The presence of a free CA certificate with no organization (free_ca, ",False
ups.com-qwaf.cc,cc,0.1505799,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'ups.com-qwaf.cc' has a dangerous TLD (cc) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.15) is low, and the doma",True
champon.com.cn,cn,0.07998739,0,0,0.85,low,0.08266099216666667,False,"['policy:LOW_ML_GUARD', 'mitigated:free_ca', 'mitigated:no_org']","The domain champon.com.cn has a low ML probability (0.08) and contextual risk score (0.08) below 0.50. While the certificate shows free CA (Let's Encrypt) with no organization, this is a common legitimate configuration for valid DV certificates. The domain is not random (entropy 2.81, vowel ratio 0.",True
beseekksenihoor3.top,top,0.17500614,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'beseekksenihoor3.top' has a dangerous TLD (.top) and shows signs of a DV certificate from a free CA (ZeroSSL) with no organization information. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ml_probability (0.175) is low, and the domain do",False
qge8o8.cn,cn,0.25755936,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dangerous_tld', 'mitigated:short']","The domain qge8o8.cn has a dangerous TLD (cn) and is short (6 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.257) is below 0.25, so we cannot rely on ML alone. The free CA certificate (Let's Encrypt",True
diary-jp.icu,icu,0.18938172,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'diary-jp.icu' has a dangerous TLD (icu) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65 and there is no brand detection. The ML probability (0.189) is low and the domain d",True
