idx,domain,tld,ml_probability,stage1_pred,y_true,p_error,uncertainty,defer_score,is_dangerous_tld,is_idn,brand_hit,pool_priority,pool_optional,selected,selected_priority,selected_optional,safe_benign
2,sellsy.com,com,0.1414517,0,0,0.9627665247655036,0.28290343,0.9627665247655036,0,0,0,0,0,1,0,0,0
95,armurerie-steflo-lyon.com,com,0.09302058,0,0,0.8988945149030849,0.18604118,0.8988945149030849,0,0,0,0,0,1,0,0,0
168,thisav.com,com,0.10361976,0,0,0.8767024388592239,0.20723951,0.8767024388592239,0,0,0,0,0,1,0,0,0
195,thecraftpatchblog.com,com,0.29836214,0,0,0.968441737005425,0.5967243,0.968441737005425,0,0,0,0,0,1,0,0,0
217,gambling-trade.com,com,0.10705405,0,0,0.9072275284884238,0.21410811,0.9072275284884238,0,0,0,0,0,1,0,0,0
272,wnbgjj.com,com,0.27314848,0,1,0.9908382376324064,0.54629695,0.9908382376324064,0,0,0,0,0,1,0,0,0
308,htse10.com,com,0.119196415,0,0,0.9126563415047316,0.23839283,0.9126563415047316,0,0,0,0,0,1,0,0,0
342,veganfta.com,com,0.07822059,0,0,0.8683924031019564,0.15644121,0.8683924031019564,0,0,0,0,0,1,0,0,0
426,woobull.com,com,0.115011126,0,0,0.876489664992909,0.23002225,0.876489664992909,0,0,0,0,0,1,0,0,0
488,casino-recensioni.com,com,0.15884623,0,0,0.9772482435473564,0.31769246,0.9772482435473564,0,0,0,0,0,1,0,0,0
552,harryanddavid.com,com,0.28625512,0,0,0.9717487474041654,0.57251024,0.9717487474041654,0,0,0,0,0,1,0,0,0
626,femida-justice.com,com,0.114070505,0,0,0.9489675936716752,0.22814101,0.9489675936716752,0,0,0,0,0,1,0,0,0
674,love-spots.com,com,0.099529736,0,0,0.9282961254273896,0.19905949,0.9282961254273896,0,0,0,0,0,1,0,0,0
675,cottonpatch.com,com,0.07536559,0,0,0.8500545443759732,0.1507312,0.8500545443759732,0,0,0,0,0,1,0,0,0
679,topcelebsjackets.com,com,0.18748625,0,0,0.9468450965519728,0.37497246,0.9468450965519728,0,0,0,0,0,1,0,0,0
777,stackct.com,com,0.120803885,0,0,0.9434318688050964,0.24160779,0.9434318688050964,0,0,0,0,0,1,0,0,0
819,hzdc56.com,com,0.2530175,0,0,0.985919616258534,0.506035,0.985919616258534,0,0,0,0,0,1,0,0,0
1023,hnygsl.com,com,0.20497726,0,0,0.9842640591066216,0.40995455,0.9842640591066216,0,0,0,0,0,1,0,0,0
