idx,domain,tld,ml_probability,stage1_pred,y_true,p_error,uncertainty,defer_score,is_dangerous_tld,is_idn,brand_hit,pool_priority,pool_optional,selected,selected_priority,selected_optional,safe_benign
123809,banhen0871.com,com,0.24810469,0,1,0.9693227411477268,0.49620938,0.9693227411477268,0,0,0,0,0,1,0,0,0
91230,quadient.com,com,0.20661724,0,0,0.959878687378327,0.41323447,0.959878687378327,0,0,0,0,0,1,0,0,0
86711,cdswsw.com,com,0.1901385,0,0,0.9810269462720576,0.38027704,0.9810269462720576,0,0,0,0,0,1,0,0,0
22868,islandchic77.com,com,0.18880734,0,0,0.9758612351690752,0.37761468,0.9758612351690752,0,0,0,0,0,1,0,0,0
2476,family-officebell.com,com,0.16476458,0,1,0.92792783896445,0.32952917,0.92792783896445,0,0,0,0,0,1,0,0,0
49646,meaningfulmama.com,com,0.18752629,0,0,0.9419447640269154,0.37505257,0.9419447640269154,0,0,0,0,0,1,0,0,0
103625,teleclinic.com,com,0.07454199,0,0,0.8634312501279238,0.14908397,0.8634312501279238,0,0,0,0,0,1,0,0,0
45017,funkyhampers.com,com,0.07636962,0,0,0.8525125313735878,0.15273923,0.8525125313735878,0,0,0,0,0,1,0,0,0
90974,xn--hy1bp4v55dbpc.com,com,0.19737153,0,0,0.96963893676033,0.39474308,0.96963893676033,0,1,0,1,0,1,1,0,0
103108,solde-ulys.com,com,0.16623437,0,1,0.9783438672575616,0.33246875,0.9783438672575616,0,0,0,0,0,1,0,0,0
13324,quakelatam.com,com,0.20395474,0,1,0.9545855734202726,0.4079095,0.9545855734202726,0,0,0,0,0,1,0,0,0
58024,nalahouse.com,com,0.08558581,0,1,0.9065174582069891,0.1711716,0.9065174582069891,0,0,0,0,0,1,0,0,0
108706,rexx-recruitment.com,com,0.1852658,0,0,0.9564102263296708,0.37053156,0.9564102263296708,0,0,0,0,0,1,0,0,0
4399,alswlj.com,com,0.08059545,0,1,0.8672312475252724,0.16119087,0.8672312475252724,0,0,0,0,0,1,0,0,0
74106,taisei-food.com,com,0.2112879,0,1,0.9899966667061753,0.42257583,0.9899966667061753,0,0,0,0,0,1,0,0,0
91418,usps-pyc.com,com,0.12632927,0,1,0.9528419153034394,0.25265855,0.9528419153034394,0,0,0,0,0,1,0,0,0
94525,hmm-itb.com,com,0.07534764,0,0,0.8667438045422377,0.15069526,0.8667438045422377,0,0,0,0,0,1,0,0,0
52989,fm96.com,com,0.13692077,0,0,0.9414815015820858,0.2738415,0.9414815015820858,0,0,0,0,0,1,0,0,0
107214,citrus-landscape-solutions.com,com,0.0975973,0,0,0.8999809781477391,0.1951946,0.8999809781477391,0,0,0,0,0,1,0,0,0
33246,pooljax.com,com,0.29211643,0,1,0.976338237684444,0.58423287,0.976338237684444,0,0,0,0,0,1,0,0,0
38303,youaishidai.com,com,0.08020451,0,1,0.8873043606326219,0.16040903,0.8873043606326219,0,0,0,0,0,1,0,0,0
16681,abonnement-uiys.com,com,0.25664106,0,1,0.9920514868581718,0.5132821,0.9920514868581718,0,0,0,0,0,1,0,0,0
32894,veggieperrins.com,com,0.13469747,0,1,0.8854445218933142,0.26939493,0.8854445218933142,0,0,0,0,0,1,0,0,0
124937,gp-radar.com,com,0.16221008,0,0,0.9785971560181,0.32442015,0.9785971560181,0,0,0,0,0,1,0,0,0
3850,mm1069.com,com,0.19960609,0,0,0.9701840813801929,0.39921218,0.9701840813801929,0,0,0,0,0,1,0,0,0
35916,zenritsusen-care.com,com,0.12913863,0,1,0.9612027858577508,0.2582773,0.9612027858577508,0,0,0,0,0,1,0,0,0
82184,stylus-lang.com,com,0.21723974,0,0,0.9834858158830074,0.43447948,0.9834858158830074,0,0,0,0,0,1,0,0,0
110334,1xbetegiris2.com,com,0.07573301,0,0,0.8504837566622933,0.15146601,0.8504837566622933,0,0,0,0,0,1,0,0,0
35348,tippinsights.com,com,0.17693892,0,0,0.9484004044638964,0.35387784,0.9484004044638964,0,0,0,0,0,1,0,0,0
51201,cropsmall.com,com,0.11553755,0,1,0.8735497215793474,0.23107511,0.8735497215793474,0,0,0,0,0,1,0,0,0
60836,pavillon-arsenal.com,com,0.096519575,0,0,0.9180694709927396,0.19303918,0.9180694709927396,0,0,0,0,0,1,0,0,0
120899,yunwaisong.com,com,0.112264976,0,1,0.8536586898003983,0.22452998,0.8536586898003983,0,0,0,0,0,1,0,0,0
45381,dwin-global.com,com,0.09934507,0,0,0.9125523103366544,0.19869018,0.9125523103366544,0,0,0,0,0,1,0,0,0
110437,dglxsj.com,com,0.29661986,0,1,0.9917512540661128,0.5932397,0.9917512540661128,0,0,0,0,0,1,0,0,0
98218,japanpast.com,com,0.27545398,0,1,0.9740228779896144,0.55090797,0.9740228779896144,0,0,0,0,0,1,0,0,0
16110,satsumatsu.com,com,0.12761049,0,1,0.9102204328097504,0.255221,0.9102204328097504,0,0,0,0,0,1,0,0,0
108909,cambridgeincolour.com,com,0.1006648,0,0,0.8964022235231367,0.20132959,0.8964022235231367,0,0,0,0,0,1,0,0,0
123525,rockatee.com,com,0.07196814,0,0,0.8622990873844338,0.14393628,0.8622990873844338,0,0,0,0,0,1,0,0,0
41930,hu166.com,com,0.2740272,0,1,0.9597091034750048,0.5480544,0.9597091034750048,0,0,0,0,0,1,0,0,0
93708,bon-mar.com,com,0.123715185,0,0,0.9459178449086516,0.24743038,0.9459178449086516,0,0,0,0,0,1,0,0,0
59579,yesseafood.com,com,0.06934953,0,1,0.8530855633460788,0.13869905,0.8530855633460788,0,0,0,0,0,1,0,0,0
123658,au-safety.com,com,0.20785317,0,1,0.9885527747547992,0.41570634,0.9885527747547992,0,0,0,0,0,1,0,0,0
94009,mrelay-servicefr.com,com,0.10890802,0,1,0.9416679991387902,0.21781605,0.9416679991387902,0,0,0,0,0,1,0,0,0
117916,fanar-ref.com,com,0.10340199,0,0,0.938820289888616,0.20680398,0.938820289888616,0,0,0,0,0,1,0,0,0
50082,relay-retrait.com,com,0.1014645,0,1,0.8710368799808802,0.20292902,0.8710368799808802,0,0,0,0,0,1,0,0,0
47431,whitepletinckx.com,com,0.26234692,0,1,0.967101357763594,0.52469385,0.967101357763594,0,0,0,0,0,1,0,0,0
57979,uponor.com,com,0.11223118,0,0,0.9074737906005252,0.22446239,0.9074737906005252,0,0,0,0,0,1,0,0,0
89205,onlinesourceidmeauthentication.com,com,0.14577635,0,1,0.9703542823331592,0.29155266,0.9703542823331592,0,0,0,0,0,1,0,0,0
119144,datca-haber.com,com,0.22004984,0,0,0.9586184648616544,0.44009972,0.9586184648616544,0,0,0,0,0,1,0,0,0
117963,bestac.com,com,0.12586959,0,0,0.9085583428751548,0.25173914,0.9085583428751548,0,0,0,0,0,1,0,0,0
