domain,source,ml_probability,dns_resolves,http_status,looks_legit,legit_indicators
smbc-cardj.icu,jpcert,0.9008450508117676,False,,,
upr.asia,jpcert,0.8224174380302429,False,,,
momalaminhauliers.co.ke,jpcert,0.9712209105491638,False,,,
teiegrom.xyz,phishtank,0.9036828875541687,False,,,
hengyahose.com,certificates,0.8862356543540955,False,,,
chipkolik.com,jpcert,0.9393750429153442,False,,,
tradepark247.com,certificates,0.9556398987770081,False,,,
damoaweb.com,jpcert,0.9123843908309937,False,,,
qhcrih.cn,certificates,0.9202728271484375,False,,,
lhbsxceifgbwx.xyz,jpcert,0.988149106502533,False,,,
kbnopdy.cn,jpcert,0.9869804978370667,False,,,
faq-gmo-aozora.is,jpcert,0.9599389433860779,False,,,
utwse.com,phishtank,0.9689523577690125,False,,,
afarsi.com,certificates,0.9185221195220947,False,,,
moouka.com,certificates,0.9815583825111389,False,,,
tepcoc.top,certificates,0.973558247089386,False,,,
sadlerwedding.com,certificates,0.7955248951911926,False,,,
smbc.news,jpcert,0.9630134701728821,False,,,
grizzlypad.com,jpcert,0.7251121401786804,False,,,
scapular.cn,jpcert,0.9269779324531555,False,,,
bailimagic.com,certificates,0.9064839482307434,False,,,
right-handgal.com,certificates,0.7288744449615479,False,,,
myjcbbe.net,jpcert,0.9881324172019958,False,,,
jn8nvd.top,phishtank,0.9390949010848999,False,,,
therocket.cn,jpcert,0.9267812967300415,False,,,
ba8dtii.xyz,certificates,0.7090984582901001,False,,,
tompicklesimer.com,jpcert,0.7716144919395447,False,,,
tinfrnusah.com,jpcert,0.94425368309021,True,503.0,,
celmr.cn,jpcert,0.949699878692627,True,503.0,,
cipuz.cn,jpcert,0.9748867750167847,True,503.0,,
egjsw.cn,jpcert,0.9676441550254822,True,503.0,,
casque.cn,jpcert,0.8506281971931458,True,503.0,,
bestdokusig.it.com,phishtank,0.9871909618377686,False,,,
ljcneoeg.sbs,jpcert,0.8933759331703186,False,,,
saison-carditco.shop,jpcert,0.9340205788612366,False,,,
eki.tongjiangstfeqd.co,jpcert,0.925746738910675,False,,,
mnuwy.cn,jpcert,0.9247364401817322,True,503.0,,
varicoloured.cn,jpcert,0.7658595442771912,True,503.0,,
cancltrst3.com,jpcert,0.956009566783905,False,,,
ewtjgavk3mn.shop,jpcert,0.906791627407074,False,,,
321bede952ueo.xyz,jpcert,0.9781802892684937,True,503.0,,
gbjct.cn,phishtank,0.9640609622001648,True,503.0,,
myjcbettssws.cc,certificates,0.9849092364311218,False,,,
derleec.com,certificates,0.9830719232559204,True,503.0,,
auspaint.com,certificates,0.7893698215484619,True,403.0,,
perielmo.com,certificates,0.9559574723243713,True,503.0,,
sandybelles.com,certificates,0.9369264841079712,False,,,
xunyqk.cn,certificates,0.9238922595977783,True,403.0,,
a4e2n7ojp.sbs,certificates,0.8426744341850281,False,,,
eposhelp.info,jpcert,0.9796889424324036,False,,,
electunas.com,jpcert,0.9676080346107483,False,,,
utwze.com,phishtank,0.9794648289680481,False,,,
avdht001.com,jpcert,0.7487947344779968,True,503.0,,
jcwa.cn,jpcert,0.8085484504699707,False,,,
rjgem08z.cn,certificates,0.8745945692062378,False,,,
fnsla.cn,jpcert,0.9583393931388855,True,403.0,,
aifulia.store,jpcert,0.9253140091896057,False,,,
fbrestricted.cfd,phishtank,0.7939044237136841,True,503.0,,
jtmj.cn,certificates,0.9656633138656616,False,,,
nftcube.cn,jpcert,0.8337199091911316,False,,,
shanxipengfei.com,certificates,0.8171059489250183,True,503.0,,
baoruisuye.com,certificates,0.962296724319458,True,503.0,,
puhjytdesc.com,certificates,0.923645555973053,False,,,
hidisun.com,certificates,0.9683340191841125,False,,,
punkhoodie.com,jpcert,0.9607725739479065,False,,,
aqcsxdibojau.top,certificates,0.9646515846252441,False,,,
mfgnub-web1kower.icu,certificates,0.730891227722168,False,,,
jxskylin.com,jpcert,0.9578729867935181,False,,,
oricajiechud.shop,jpcert,0.9594436883926392,False,,,
ntrfw.com,jpcert,0.906611442565918,False,,,
sxawe.com,jpcert,0.9249743223190308,True,503.0,,
wanyunjiankang.com,certificates,0.981813907623291,False,,,
hnxxsjsy.com,jpcert,0.784698486328125,True,503.0,,
viewsnet-localite.vojfb.cn,jpcert,0.9866064190864563,True,503.0,,
feab.com.cn,jpcert,0.8175280690193176,False,,,
vktjnod.cn,certificates,0.9863404035568237,True,503.0,,
