domain,source,ml_probability,dns_resolves,http_status,looks_legit
rbtpoklvbvn.icu,phishtank,0.021720224991440773,False,,
actualisation-cartevitale.fr,phishtank,0.14000707864761353,False,,
ibndesign.xyz,phishtank,0.11505481600761414,False,,
aonsell.com,phishtank,0.026067590340971947,False,,
pt-trackingctt.com,phishtank,0.24242772161960602,False,,
lteunlocks.com,phishtank,0.2974849343299866,False,,
fenzgard.com,phishtank,0.015641791746020317,True,,
ua-logistics.com,phishtank,0.1199970543384552,True,,
dccofnevada.com,phishtank,0.027822250500321388,True,,
sparkasse-spush.de,phishtank,0.03338184580206871,True,,
oceanbanksalerts.com,phishtank,0.05581831559538841,False,,
mapsa.com.pe,phishtank,0.1310170590877533,True,,
smbc-cardbv.icu,phishtank,0.11146125942468643,True,,
ulys-france.com,phishtank,0.19332987070083618,True,,
fastsettlementhub.click,phishtank,0.05516301468014717,False,,
52976.net,phishtank,0.2135792076587677,True,,
atproaudio.com,phishtank,0.048397861421108246,False,,
bemblogado.com.br,phishtank,0.04439649358391762,True,,
top5forextradingrobots.com,phishtank,0.005705341696739197,True,,
uiyspeage.com,phishtank,0.06363619863986969,False,,
abodeprintsolutions.com,phishtank,0.02823663130402565,True,,
glaters.com,phishtank,0.021347878500819206,True,,
correos-slv.com,phishtank,0.010670904070138931,False,,
ydbktvozvz.top,jpcert,0.28530028462409973,False,,
stupina.eu,phishtank,0.04741740599274635,True,,
probleme-envoi.com,phishtank,0.26816073060035706,True,,
photoniccrystal.cn,jpcert,0.2160637527704239,True,,
zsedsu.cn,jpcert,0.06428564339876175,True,,
yamzaklink.xyz,jpcert,0.012778686359524727,False,,
dasong.info,jpcert,0.07626011967658997,False,,
s-esu.co.jp,jpcert,0.1905369907617569,True,200.0,True
nozominosato-nagashima.com,jpcert,0.07100953161716461,True,200.0,True
usatodaty.com,jpcert,0.049095749855041504,False,,
bbz668.com,jpcert,0.05379517748951912,True,,
vngviatges.com,jpcert,0.03741772845387459,True,,
vistaplaya.cl,jpcert,0.10438238084316254,False,,
resooa.com,jpcert,0.017413455992937088,False,,
storetech.pe,phishtank,0.07306128740310669,True,406.0,
aifvl.co,jpcert,0.01749233901500702,False,,
harisan.co.in,jpcert,0.02405030094087124,True,,
banghexep.com,jpcert,0.07808823883533478,True,,
unitedreflections.com,phishtank,0.03225716948509216,True,406.0,
wioenl.cn,jpcert,0.27977827191352844,False,,
satsumatsu.com,jpcert,0.1387055367231369,False,,
praevida.com.ar,jpcert,0.0362149216234684,True,200.0,True
ski-bbt.com,jpcert,0.10510051995515823,True,200.0,unknown
eye-lucir.com,jpcert,0.09628880769014359,True,,
moretime123.com,jpcert,0.05949827656149864,True,,
en.wonderlink.de,phishtank,0.06789951771497726,True,200.0,unknown
biglobeservices.com,jpcert,0.006412240210920572,True,,
abichan.net,jpcert,0.014695649966597557,True,,
takumiworld.jp,jpcert,0.06349828094244003,False,,
dgsimx.com,certificates,0.03268973156809807,True,,
elmo-danesh.ir,jpcert,0.01927264779806137,True,200.0,False
paypayac.com,certificates,0.24401000142097473,False,,
paypay-co.jp,certificates,0.15855693817138672,False,,
rjdqct.com,jpcert,0.1944730579853058,True,,
ghtree.com,certificates,0.013261927291750908,True,,
jcb-jp.net,certificates,0.17347699403762817,True,,
amazons.top,certificates,0.06582579761743546,False,,
smokedamagecleanuppros.com,certificates,0.08063477277755737,True,,
yizhongju.com,certificates,0.010654852725565434,True,,
colocationquimper.com,jpcert,0.07524553686380386,True,200.0,unknown
tepcocheckout.me,certificates,0.20168715715408325,False,,
guchengzhangji.com,certificates,0.06332424283027649,True,,
duckar.com,jpcert,0.02941226027905941,True,200.0,True
dshous.cn,jpcert,0.14141708612442017,True,,
bojeor.com,certificates,0.21661284565925598,False,,
findazores.com,certificates,0.12787488102912903,False,,
xajkhbj.com,certificates,0.1449267715215683,True,,
haoclass.com,certificates,0.023214563727378845,True,,
blushseo.com,certificates,0.17045733332633972,True,,
mufgqw.com,certificates,0.24711443483829498,False,,
inktheshirta.cc,certificates,0.08830028772354126,True,,
TiNy.Cc,certificates,0.10795243084430695,True,403.0,
allnull.cn,certificates,0.05099327862262726,True,200.0,unknown
mrw.so,certificates,0.019041286781430244,False,,
chrome-up.club,certificates,0.2579754889011383,False,,
dhxx.net,certificates,0.15581560134887695,False,,
satyarthi.uk,phishtank,0.05161081999540329,True,,
hljspys.com,certificates,0.2625788450241089,False,,
doudouxizi.com,certificates,0.05020235478878021,True,,
simondoesdubai.com,certificates,0.009466038085520267,True,,
kuronekoyamat.cc,certificates,0.21746666729450226,False,,
aeonzm.com,certificates,0.07453493773937225,True,200.0,unknown
dileoid.com,certificates,0.011949889361858368,True,403.0,
romadiaz.com,jpcert,0.044591207057237625,True,,
e9u.cc,certificates,0.04165688157081604,True,,
jipiaoonline.com,certificates,0.09501191973686218,True,,
deepalkhonkaen.com,phishtank,0.029496628791093826,False,,
