domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
3reer45.lat,phishtank,0.015595069155097008,False,,0,,,
usnblezpasscom.xin,phishtank,0.02482842467725277,False,,0,,,
nabtag.com,jpcert,0.1818496137857437,False,,0,,,
choisirunrelay.com,phishtank,0.019806860014796257,False,,0,,,
ashleytevatia.com,jpcert,0.17672781646251678,False,,0,,,
maahaya.cn,certificates,0.0844467505812645,False,,0,,,
sensoriumpsychologists.com,phishtank,0.018204208463430405,True,503.0,6820,,,
hezemusheng.cn,certificates,0.2557061016559601,True,503.0,6808,,,
site-ontroetge.uno,phishtank,0.07870469987392426,True,503.0,6812,,,
reschiastudios.com,phishtank,0.012461484409868717,True,503.0,6812,,,
totalmedicaltourism.com,phishtank,0.005926485173404217,False,,0,,,
abichan.net,jpcert,0.014695649966597557,True,503.0,6805,,,
dniperu.online,phishtank,0.08614739775657654,True,503.0,6808,,,
huwaifeng.cn,certificates,0.05161792412400246,True,503.0,6806,,,
inicioraiker.site,phishtank,0.040891069918870926,False,,0,,,
sheilhoward.bond,jpcert,0.14262467622756958,False,,0,,,
senatgold.space,phishtank,0.12817615270614624,False,,0,,,
uveexc.com,phishtank,0.29105934500694275,True,503.0,6804,,,
pkobp.com,phishtank,0.1429995447397232,True,503.0,6803,,,
desafio.org,phishtank,0.03691726177930832,True,503.0,6805,,,
salmonriverfarm.com,jpcert,0.006795043591409922,True,503.0,6813,,,
digitalplace.space,phishtank,0.022552641108632088,False,,0,,,
family-officebell.com,phishtank,0.2309386283159256,False,,0,,,
bosquescondido.com,phishtank,0.031943731009960175,True,503.0,6812,,,
madexe.com,jpcert,0.030929744243621826,True,200.0,114,,,
postdeatheducation.com,phishtank,0.051662877202034,True,503.0,6816,,,
mtech-kobe.co.jp,jpcert,0.10195647925138474,True,503.0,6810,,,
solvtopia.com,jpcert,0.05526309460401535,True,503.0,6807,,,
waa.ai,jpcert,0.03679419681429863,True,503.0,6800,,,
login-sagaccouplely.xyz,jpcert,0.011225205846130848,False,,0,,,
ht-nail.de,jpcert,0.07477713376283646,True,503.0,6804,,,
mimpikami.com,jpcert,0.005678482353687286,True,403.0,514,,,
sntqvf.com,phishtank,0.12918119132518768,True,503.0,6804,,,
run.mocky.io,phishtank,0.010127839632332325,True,404.0,5092,,,
alswlj.com,certificates,0.09823387861251831,True,503.0,6804,,,
laubros.com,phishtank,0.04584597423672676,True,200.0,333388,True,about us|contact|copyright|company,
urbanandruraldesign.com.au,jpcert,0.09219618141651154,True,200.0,245767,True,about us|contact|privacy policy|copyright|company,
imsfingerprinting.com,certificates,0.03217364847660065,True,503.0,6815,,,
empcme.com,phishtank,0.02990434505045414,True,503.0,6804,,,
postnet-operate.com,phishtank,0.28536123037338257,True,,0,,,
rjdqct.com,jpcert,0.1944730579853058,True,503.0,6804,,,
calinoukids.com,phishtank,0.03113109990954399,True,503.0,6809,,,
mxjstone.com,jpcert,0.046808257699012756,True,503.0,6806,,,
che-post.work,phishtank,0.10752397775650024,False,,0,,,
glaters.com,phishtank,0.021347878500819206,True,,0,,,
3t.fit,certificates,0.23119935393333435,False,,0,,,
test-directory.com,jpcert,0.10605140030384064,True,403.0,1509,,,
ups.com-qwaf.cc,phishtank,0.1836819350719452,True,503.0,6809,,,
daycom.cn,jpcert,0.026908308267593384,True,200.0,5009,unknown,,
mfgf.hu,jpcert,0.054235897958278656,True,200.0,13156,unknown,,
thesocial.cn,certificates,0.09122076630592346,True,436.0,0,,,
maruesushikan.jp,jpcert,0.025178009644150734,True,503.0,6810,,,
