domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
caronl.com,certificates,0.05953088030219078,True,200.0,44014,True,about us|contact|privacy policy|copyright|company,
TiNy.Cc,certificates,0.10795243084430695,True,200.0,17767,True,contact|copyright,
ipv6guru.com,certificates,0.2035933881998062,True,200.0,44416,True,about us|contact|privacy policy|copyright|company,
xajkhbj.com,certificates,0.1449267715215683,True,200.0,31963,True,contact|copyright,
TINy.Cc,certificates,0.10795243084430695,True,200.0,17786,True,contact|copyright,
justweds.com,certificates,0.1335919350385666,True,200.0,77683,True,contact|copyright,
whwangluo.com,certificates,0.03170189633965492,True,200.0,132988,True,contact|copyright,
phanepal.org,certificates,0.016652971506118774,True,200.0,158773,True,contact|copyright,
samedayme.com,certificates,0.09862535446882248,True,200.0,207714,True,about us|contact|privacy policy,
k-strategian.com,certificates,0.010355648584663868,True,200.0,48208,True,contact|copyright,
smartinl.com,jpcert,0.01840985380113125,True,200.0,90920,True,about us|contact|copyright|company,
tcial.jp,jpcert,0.06827936321496964,True,200.0,83459,True,contact|copyright|company|会社概要|お問い合わせ,
okinawa-design.jp,jpcert,0.020336318761110306,True,200.0,63846,True,about us|copyright,
88yuming.com,jpcert,0.2561687231063843,True,200.0,44082,True,about us|contact|privacy policy|copyright|company,
elguruweb.com,jpcert,0.03356771171092987,True,200.0,179192,True,about us|contact|copyright,
eyegeorgetown.com,jpcert,0.008585862815380096,True,200.0,63545,True,about us|contact|copyright,
inexs.jp,jpcert,0.08665885776281357,True,200.0,288363,True,about us|contact|copyright|お問い合わせ,
context.vc,jpcert,0.24093309044837952,True,200.0,22915,True,copyright|company,
i-merchant.biz,jpcert,0.12692096829414368,True,200.0,334961,True,contact|copyright|company|会社概要,
cafsrl.com.ar,jpcert,0.07193850725889206,True,200.0,11378,True,contact|copyright,
matsutanitomomi.com,jpcert,0.03171687573194504,True,200.0,3538,True,contact|copyright,
aashahospital.org,jpcert,0.02825595811009407,True,200.0,27030,True,about us|contact|copyright,
yesseafood.com,jpcert,0.06998986005783081,True,200.0,44148,True,about us|contact|privacy policy|copyright|company,
utusiki.com,jpcert,0.0031640774104744196,True,200.0,157908,True,contact|company,
mugathuvaram.com,jpcert,0.027267206460237503,True,200.0,59943,True,about us|contact,
nagata-k.net,jpcert,0.12525324523448944,True,200.0,224870,True,contact|copyright|お問い合わせ,
biechulife.com,jpcert,0.07895821332931519,True,200.0,44320,True,about us|contact|privacy policy|copyright|company,
mizunowa.jp,jpcert,0.03168976679444313,True,200.0,67624,True,contact|copyright|company,
e-eisin.com,jpcert,0.1401991993188858,True,200.0,9045,True,contact|copyright|company,
altinii.dk,jpcert,0.017114218324422836,True,200.0,540379,True,contact|copyright,
glistergold.com,jpcert,0.006213549990206957,True,200.0,78305,True,about us|contact|privacy policy,
flownergy.com,jpcert,0.09998244792222977,True,200.0,77795,True,contact|copyright,
lightproject.jp,jpcert,0.0242367722094059,True,200.0,669351,True,contact|copyright,
dolcehanoigoldenlake.com,jpcert,0.08845699578523636,True,200.0,63678,True,copyright|company,
baohebolt.com,jpcert,0.02281624637544155,True,200.0,66441,True,contact|copyright|company,
endopeel.fr,jpcert,0.04140971601009369,True,200.0,112939,True,contact|copyright,
livingcolour.co.jp,jpcert,0.03067827597260475,True,200.0,1144603,True,contact|copyright,
flickclick.jp,jpcert,0.028545422479510307,True,200.0,163616,True,contact|company|お問い合わせ,
asset-design.jp,jpcert,0.03632419928908348,True,200.0,16866,True,about us|contact|copyright|company|会社概要|お問い合わせ,
nichirosoken.com,jpcert,0.030814437195658684,True,200.0,5726,True,contact|copyright,
duckar.com,jpcert,0.02941226027905941,True,200.0,183635,True,contact|copyright,
