domain,source,ml_probability,has_archive,archive_date
rbtpoklvbvn.icu,phishtank,0.021720224991440773,False,
ibndesign.xyz,phishtank,0.11505481600761414,False,
pt-trackingctt.com,phishtank,0.24242772161960602,False,
actualisation-cartevitale.fr,phishtank,0.14000707864761353,True,2024-08-30
fenzgard.com,phishtank,0.015641791746020317,True,2022-01-03
oceanbanksalerts.com,phishtank,0.05581831559538841,False,
probleme-envoi.com,phishtank,0.26816073060035706,False,
sparkasse-spush.de,phishtank,0.03338184580206871,False,
dccofnevada.com,phishtank,0.027822250500321388,True,2025-03-20
mapsa.com.pe,phishtank,0.1310170590877533,True,2025-02-24
satyarthi.uk,phishtank,0.05161081999540329,True,2025-04-08
ulys-france.com,phishtank,0.19332987070083618,True,2025-08-10
bemblogado.com.br,phishtank,0.04439649358391762,True,2026-01-02
deepalkhonkaen.com,phishtank,0.029496628791093826,True,2025-03-22
glaters.com,phishtank,0.021347878500819206,True,2025-04-08
top5forextradingrobots.com,phishtank,0.005705341696739197,True,2025-04-16
unitedreflections.com,phishtank,0.03225716948509216,True,2025-02-21
atproaudio.com,phishtank,0.048397861421108246,True,2025-01-16
storetech.pe,phishtank,0.07306128740310669,,
aonsell.com,phishtank,0.026067590340971947,,
ua-logistics.com,phishtank,0.1199970543384552,,
52976.net,phishtank,0.2135792076587677,,
correos-slv.com,phishtank,0.010670904070138931,True,2025-03-23
lteunlocks.com,phishtank,0.2974849343299866,,
9408kramerwood.com,phishtank,0.04205863177776337,True,2024-05-21
1doi.com,phishtank,0.01912662759423256,True,2025-06-17
uiyspeage.com,phishtank,0.06363619863986969,False,
postbern.cc,phishtank,0.029945719987154007,False,
smbc-cardbv.icu,phishtank,0.11146125942468643,,
67768899.com,phishtank,0.29624634981155396,False,
fastsettlementhub.click,phishtank,0.05516301468014717,False,
camelsafariexploring.com,phishtank,0.06195821613073349,True,2025-07-14
en.wonderlink.de,phishtank,0.06789951771497726,True,2025-11-16
live-app.cx,phishtank,0.017435172572731972,False,
abodeprintsolutions.com,phishtank,0.02823663130402565,,
gesfgeuuw.icu,phishtank,0.09696080535650253,False,
arazimai.co.il,phishtank,0.055217307060956955,True,2023-10-10
cos.ge,phishtank,0.03645699843764305,True,2025-12-22
isintosuccess.com,phishtank,0.006881906185299158,True,2025-11-06
solde-ulys.com,phishtank,0.1597004532814026,False,
adwz.cn,phishtank,0.0643543004989624,True,2025-05-25
interieursite.be,phishtank,0.020625900477170944,True,2021-12-09
bgnroh.xyz,phishtank,0.21014587581157684,False,
delfintour.sk,phishtank,0.027647636830806732,True,2025-10-11
colegiolambert.cl,phishtank,0.029902372509241104,True,2025-02-23
fpt.one,phishtank,0.003079950576648116,True,2025-11-18
praevida.com.ar,jpcert,0.0362149216234684,True,2025-03-24
zsedsu.cn,jpcert,0.06428564339876175,False,
stupina.eu,phishtank,0.04741740599274635,,
photoniccrystal.cn,jpcert,0.2160637527704239,False,
bbz668.com,jpcert,0.05379517748951912,True,2025-05-01
yamzaklink.xyz,jpcert,0.012778686359524727,True,2023-08-11
dshous.cn,jpcert,0.14141708612442017,True,2025-11-15
dasong.info,jpcert,0.07626011967658997,True,2025-03-17
nozominosato-nagashima.com,jpcert,0.07100953161716461,True,2025-11-16
usatodaty.com,jpcert,0.049095749855041504,True,2025-03-20
vngviatges.com,jpcert,0.03741772845387459,True,2025-09-18
vistaplaya.cl,jpcert,0.10438238084316254,True,2024-05-28
hupaw.cn,phishtank,0.23697805404663086,,
aifvl.co,jpcert,0.01749233901500702,False,
romadiaz.com,jpcert,0.044591207057237625,True,2025-02-21
elmo-danesh.ir,jpcert,0.01927264779806137,True,2025-11-19
banghexep.com,jpcert,0.07808823883533478,True,2024-09-12
colocationquimper.com,jpcert,0.07524553686380386,True,2025-11-09
wioenl.cn,jpcert,0.27977827191352844,True,2024-09-25
resooa.com,jpcert,0.017413455992937088,False,
