table_name,status,count,percentage
certificates,NOT_FOUND,261905,49.2
certificates,SUCCESS,196083,36.9
certificates,UNKNOWN_ERROR,42204,7.9
certificates,SEARCH_ERROR,27242,5.1
certificates,DOWNLOAD_ERROR,4683,0.9
jpcert_phishing_urls,SUCCESS,115620,51.9
jpcert_phishing_urls,NOT_HTTPS,41633,18.7
jpcert_phishing_urls,DUPLICATE,36033,16.2
jpcert_phishing_urls,NOT_FOUND,26997,12.1
jpcert_phishing_urls,SEARCH_ERROR,1558,0.7
jpcert_phishing_urls,UNKNOWN_ERROR,851,0.4
jpcert_phishing_urls,DOWNLOAD_ERROR,292,0.1
phishtank_entries,SUCCESS,52805,56.0
phishtank_entries,NOT_FOUND,40653,43.1
phishtank_entries,UNKNOWN_ERROR,441,0.5
phishtank_entries,SEARCH_ERROR,327,0.3
phishtank_entries,DOWNLOAD_ERROR,47,0.0
phishtank_entries,CONVERSION_ERROR,12,0.0
phishtank_entries,INVALID_URL,10,0.0
trusted_certificates,SUCCESS,450545,81.2
trusted_certificates,DOWNLOAD_ERROR,50206,9.1
trusted_certificates,NOT_FOUND,38424,6.9
trusted_certificates,UNKNOWN_ERROR,15626,2.8
