domain,ml_probability,ai_is_phishing,ai_confidence,ai_risk_level,processing_time,worker_id,error,source,y_true,stage1_pred,tld,error_type,domain_part,domain_length,ml_category,is_dangerous_tld,sda_issues,sda_risk_score,sda_reasoning,sda_domain_length,sda_tld_category,brand_issues,brand_risk_score,brand_detected,brand_reasoning,cert_issues,cert_benign_indicators,cert_risk_score,cert_issuer,cert_san_count,cert_has_crl_dp,cert_reasoning,ctx_issues,ctx_risk_score,ctx_reasoning
frmtr.com,0.07098889,True,0.85,high,9.057446479797363,0,,trusted,0,0,com,FP,frmtr,5,very_low,False,"short,random_pattern",0.30000000000000004,"短い(5文字) / ランダム指標(母音率=0.00<0.2) / 正規ドメインホワイトリスト一致(None, conf=0.88) によりリスク軽減",5,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation,legitimate_domain_mitigation",has_crl_dp,0.27999999999999997,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) / Domain is in legitimate whitelist; certificate risk mitigated | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
datasydney.icu,0.013334078,True,0.85,high,4.527669668197632,0,,trusted,0,0,icu,FP,datasydney,10,very_low,True,dangerous_tld,0.25,危険TLD(icu),10,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
asmetalwork.com.ua,0.032153055,True,0.85,high,4.255746126174927,0,,trusted,0,0,ua,FP,asmetalwork,11,very_low,False,,0.0,短いドメインの顕著な問題なし,11,unknown,"brand_detected,brand_compound,brand_tld_mismatch,critical_brand",0.4,meta (compound),ブランド候補 meta (compound) を含むドメイン構造を検出,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
gorod24.online,0.34174132,True,0.75,high,9.252350091934204,0,,trusted,0,0,online,FP,gorod24,7,medium,True,dangerous_tld,0.25,危険TLD(online),7,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
hl-rmc.com,0.11757111,True,0.75,high,5.557248830795288,0,,trusted,0,0,com,FP,hl-rmc,6,low,False,"short,random_pattern",0.30000000000000004,短い(6文字) / ランダム指標(母音率=0.00<0.2),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
hawuk.buzz,0.009232881,True,0.75,high,4.962846517562866,0,,trusted,0,0,buzz,FP,hawuk,5,very_low,True,"short,dangerous_tld",0.35,短い(5文字) / 危険TLD(buzz),5,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
wfqqmy.com,0.15187398,True,0.75,high,9.150143384933472,0,,trusted,0,0,com,FP,wfqqmy,6,low,False,"short,random_pattern,rare_bigram_random",0.35000000000000003,短い(6文字) / ランダム指標(母音率=0.00<0.2) / レアバイグラム検出(比率=0.200),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
91180.xyz,0.3025762,True,0.75,high,9.089958906173706,0,,trusted,0,0,xyz,FP,91180,5,medium,True,"short,dangerous_tld,no_vowel_dangerous_tld",0.5,短い(5文字) / 危険TLD(xyz),5,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
upgrade2sdnbhd.com,0.0657014,True,0.75,high,9.321998119354248,0,,trusted,0,0,com,FP,upgrade2sdnbhd,14,very_low,False,"consonant_cluster_random,digit_mixed_random",0.4,子音クラスター検出(2個),14,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,4,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
1-2-do.com,0.08968869,True,0.75,high,9.325236320495604,0,,trusted,0,0,com,FP,1-2-do,6,very_low,False,"short,random_pattern",0.30000000000000004,短い(6文字) / ランダム指標(母音率=0.17<0.2),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
pixelfed.de,0.7785787,True,0.85,high,4.566559314727783,0,,trusted,0,1,de,FP,pixelfed,8,high,False,,0.0,短いドメインの顕著な問題なし,8,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,1,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
fncdg.com,0.43226656,True,0.75,high,5.3529052734375,0,,trusted,0,0,com,FP,fncdg,5,medium,False,"short,random_pattern",0.30000000000000004,短い(5文字) / ランダム指標(母音率=0.00<0.2),5,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
